"majorID","celltype.l2","gene"
"T cells","Effector CD8 (CD8_eff)","GZMA"
"T cells","Effector CD8 (CD8_eff)","GZMB"
"T cells","Effector CD8 (CD8_eff)","CCL5"
"T cells","Effector CD8 (CD8_eff)","CD7"
"T cells","Effector CD8 (CD8_eff)","CD2"
"T cells","Effector CD8 (CD8_eff)","ITGB7"
"T cells","Effector CD8 (CD8_eff)","CD96"
"T cells","Effector CD8 (CD8_eff)","CD3E"
"T cells","Naïve (Tnaive)","VIM"
"T cells","Naïve (Tnaive)","IL7R"
"T cells","Naïve (Tnaive)","S100A8"
"T cells","Naïve (Tnaive)","EEF1A1"
"T cells","Naïve (Tnaive)","CXCR4"
"T cells","Naïve (Tnaive)","LTB"
"T cells","Naïve (Tnaive)","TMSB10"
"T cells","Tissue resident memory (CD8_TRM)","CCL4"
"T cells","Tissue resident memory (CD8_TRM)","RGS1"
"T cells","Tissue resident memory (CD8_TRM)","IFNG"
"T cells","Tissue resident memory (CD8_TRM)","NR4A2"
"T cells","Tissue resident memory (CD8_TRM)","BCL2A1"
"T cells","Tissue resident memory (CD8_TRM)","FASLG"
"T cells","gd T subset 1 (gdT_1)","GZMA"
"T cells","gd T subset 1 (gdT_1)","TRAT1"
"T cells","gd T subset 1 (gdT_1)","GZMB"
"T cells","gd T subset 1 (gdT_1)","TNFRSF6B"
"T cells","gd T subset 1 (gdT_1)","PTPN22"
"T cells","gd T subset 1 (gdT_1)","CCL5"
"T cells","Natural killer T (NK_T)","CRTAM"
"T cells","Natural killer T (NK_T)","CTSW"
"T cells","Natural killer T (NK_T)","CD160"
"T cells","Natural killer T (NK_T)","TCF7"
"T cells","Natural killer T (NK_T)","TESC"
"T cells","Natural killer T (NK_T)","NME1"
"T cells","Natural killer T (NK_T)","REL"
"T cells","Memory CD8 (CD8_mem)","GZMK"
"T cells","Memory CD8 (CD8_mem)","FOS"
"T cells","Memory CD8 (CD8_mem)","SH2D1A"
"T cells","Memory CD8 (CD8_mem)","CCL4"
"T cells","Memory CD8 (CD8_mem)","CXCR4"
"T cells","Memory CD8 (CD8_mem)","KLF4"
"T cells","Memory CD8 (CD8_mem)","DLA-DRA"
"T cells","gd T subset 2 (gdT_2)","ENSCAFG00000030206"
"T cells","gd T subset 2 (gdT_2)","CCL5"
"T cells","gd T subset 2 (gdT_2)","SPNS3"
"T cells","gd T subset 2 (gdT_2)","GZMA"
"T cells","gd T subset 2 (gdT_2)","CAPG"
"T cells","gd T subset 2 (gdT_2)","IL2RB"
"T cells","gd T subset 2 (gdT_2)","TRAT1"
"T cells","gd T subset 2 (gdT_2)","CD7"
"T cells","Regulatory T (Treg)","TNFRSF4"
"T cells","Regulatory T (Treg)","TNFRSF18"
